time_iso,id3_deg,id4_deg,id5_deg,id3_ticks,id4_ticks,id5_ticks
2025-10-25T16:40:13.713,209.707031,179.296875,183.779297,2386,2040,2091
2025-10-25T16:40:13.760,209.443359,179.296875,183.691406,2383,2040,2090
2025-10-25T16:40:13.808,209.091797,179.208984,183.779297,2379,2039,2091
2025-10-25T16:40:13.856,208.652344,179.208984,183.691406,2374,2039,2090
2025-10-25T16:40:13.904,208.300781,179.296875,183.779297,2370,2040,2091
2025-10-25T16:40:13.952,208.212891,179.296875,183.691406,2369,2040,2090
2025-10-25T16:40:14.000,208.125000,179.296875,183.691406,2368,2040,2090
2025-10-25T16:40:14.048,208.212891,179.208984,183.691406,2369,2039,2090
2025-10-25T16:40:14.096,208.388672,179.208984,183.339844,2371,2039,2086
2025-10-25T16:40:14.144,208.388672,179.296875,183.339844,2371,2040,2086
2025-10-25T16:40:14.192,208.300781,179.208984,183.339844,2370,2039,2086
2025-10-25T16:40:14.240,207.949219,179.296875,183.427734,2366,2040,2087
2025-10-25T16:40:14.288,207.685547,179.296875,183.427734,2363,2040,2087
2025-10-25T16:40:14.336,207.158203,179.296875,183.339844,2357,2040,2086
2025-10-25T16:40:14.384,206.982422,179.296875,183.339844,2355,2040,2086
2025-10-25T16:40:14.432,207.158203,179.296875,183.427734,2357,2040,2087
2025-10-25T16:40:14.480,207.333984,179.296875,183.427734,2359,2040,2087
2025-10-25T16:40:14.528,206.982422,179.296875,183.339844,2355,2040,2086
2025-10-25T16:40:14.576,206.894531,179.296875,183.339844,2354,2040,2086
2025-10-25T16:40:14.624,206.894531,179.296875,183.339844,2354,2040,2086
2025-10-25T16:40:14.672,206.718750,179.296875,183.339844,2352,2040,2086
2025-10-25T16:40:14.720,206.718750,179.296875,183.339844,2352,2040,2086
2025-10-25T16:40:14.768,207.333984,179.296875,183.339844,2359,2040,2086
2025-10-25T16:40:14.816,208.037109,179.296875,183.339844,2367,2040,2086
2025-10-25T16:40:14.864,208.388672,179.296875,183.251953,2371,2040,2085
2025-10-25T16:40:14.912,208.125000,179.296875,183.251953,2368,2040,2085
2025-10-25T16:40:14.960,207.421875,179.296875,183.164062,2360,2040,2084
2025-10-25T16:40:15.008,206.894531,179.208984,183.164062,2354,2039,2084
2025-10-25T16:40:15.056,206.542969,179.208984,183.164062,2350,2039,2084
2025-10-25T16:40:15.104,206.015625,178.681641,183.076172,2344,2033,2083
2025-10-25T16:40:15.152,205.664062,178.593750,183.076172,2340,2032,2083
2025-10-25T16:40:15.200,204.785156,178.593750,183.076172,2330,2032,2083
2025-10-25T16:40:15.248,203.818359,178.593750,183.076172,2319,2032,2083
2025-10-25T16:40:15.296,202.763672,178.593750,183.076172,2307,2032,2083
2025-10-25T16:40:15.344,201.621094,178.593750,182.988281,2294,2032,2082
2025-10-25T16:40:15.392,200.830078,178.593750,182.724609,2285,2032,2079
2025-10-25T16:40:15.440,200.214844,178.593750,182.021484,2278,2032,2071
2025-10-25T16:40:15.488,200.039062,178.593750,180.351562,2276,2032,2052
2025-10-25T16:40:15.536,200.039062,178.769531,177.451172,2276,2034,2019
2025-10-25T16:40:15.584,199.951172,179.121094,173.847656,2275,2038,1978
2025-10-25T16:40:15.632,199.951172,179.208984,169.716797,2275,2039,1931
