time_iso,t_sec,id6_ticks,id7_ticks,id8_ticks
2025-10-25 17:39:22.046232,2.095885,2036,2041,2734
2025-10-25 17:39:22.142230,2.191883,2036,2041,2734
2025-10-25 17:39:22.238235,2.287888,2036,2040,2734
2025-10-25 17:39:22.334222,2.383875,2036,2039,2734
2025-10-25 17:39:22.430217,2.47987,2035,2032,2734
2025-10-25 17:39:22.526210,2.575863,2035,2008,2744
2025-10-25 17:39:22.622225,2.671878,2036,1964,2792
2025-10-25 17:39:22.718246,2.767899,2036,1901,2854
2025-10-25 17:39:22.814207,2.86386,2035,1836,2908
2025-10-25 17:39:22.910200,2.959853,2034,1780,2932
2025-10-25 17:39:23.006200,3.055853,2029,1728,2932
2025-10-25 17:39:23.102193,3.151846,2023,1676,2933
2025-10-25 17:39:23.198188,3.247841,2016,1623,2933
2025-10-25 17:39:23.294154,3.343807,2011,1574,2932
2025-10-25 17:39:23.390155,3.439808,2009,1524,2926
2025-10-25 17:39:23.486152,3.535805,2007,1474,2926
2025-10-25 17:39:23.582151,3.631804,2013,1443,2926
2025-10-25 17:39:23.678141,3.727794,2034,1440,2926
2025-10-25 17:39:23.774137,3.82379,2055,1441,2926
2025-10-25 17:39:23.870131,3.919784,2057,1440,2926
2025-10-25 17:39:23.966127,4.01578,2054,1440,2926
2025-10-25 17:39:24.062181,4.111834,2062,1441,2926
2025-10-25 17:39:24.158145,4.207798,2091,1440,2926
2025-10-25 17:39:24.254123,4.303776,2132,1440,2926
2025-10-25 17:39:24.350124,4.399777,2165,1440,2926
2025-10-25 17:39:24.446099,4.495752,2203,1441,2926
2025-10-25 17:39:24.558081,4.607734,2250,1441,2926
2025-10-25 17:39:24.670080,4.719733,2297,1441,2926
2025-10-25 17:39:24.766077,4.81573,2347,1441,2926
2025-10-25 17:39:24.862092,4.911745,2390,1441,2926
2025-10-25 17:39:24.958084,5.007737,2433,1441,2926
2025-10-25 17:39:25.054070,5.103723,2470,1443,2925
2025-10-25 17:39:25.150062,5.199715,2497,1446,2926
2025-10-25 17:39:25.246055,5.295708,2515,1446,2926
2025-10-25 17:39:25.342058,5.391711,2531,1446,2926
2025-10-25 17:39:25.438049,5.487702,2539,1446,2926
2025-10-25 17:39:25.534055,5.583708,2545,1446,2926
2025-10-25 17:39:25.630096,5.679749,2555,1446,2926
2025-10-25 17:39:25.726085,5.775738,2558,1447,2926
2025-10-25 17:39:25.822061,5.871714,2563,1447,2926
2025-10-25 17:39:25.918030,5.967683,2571,1446,2926
2025-10-25 17:39:26.014021,6.063674,2576,1447,2926
2025-10-25 17:39:26.110043,6.159696,2577,1452,2925
2025-10-25 17:39:26.206010,6.255663,2580,1470,2925
2025-10-25 17:39:26.302053,6.351706,2584,1515,2925
2025-10-25 17:39:26.398047,6.4477,2586,1581,2925
2025-10-25 17:39:26.510005,6.559658,2589,1656,2922
2025-10-25 17:39:26.621988,6.671641,2590,1712,2888
2025-10-25 17:39:26.717984,6.767637,2587,1763,2820
2025-10-25 17:39:26.813978,6.863631,2584,1834,2748
2025-10-25 17:39:26.909974,6.959627,2582,1895,2698
2025-10-25 17:39:27.005961,7.055614,2577,1933,2670
2025-10-25 17:39:27.101962,7.151615,2575,1964,2644
2025-10-25 17:39:27.197960,7.247613,2568,2007,2608
2025-10-25 17:39:27.293964,7.343617,2558,2064,2566
2025-10-25 17:39:27.389931,7.439584,2546,2122,2538
2025-10-25 17:39:27.485933,7.535586,2533,2176,2534
2025-10-25 17:39:27.581928,7.631581,2519,2221,2534
2025-10-25 17:39:27.677922,7.727575,2506,2255,2534
2025-10-25 17:39:27.773922,7.823575,2499,2271,2540
2025-10-25 17:39:27.869926,7.919579,2497,2272,2542
2025-10-25 17:39:27.965924,8.015577,2497,2272,2554
2025-10-25 17:39:28.061918,8.111571,2497,2272,2592
2025-10-25 17:39:28.157896,8.207549,2495,2272,2620
2025-10-25 17:39:28.253894,8.303547,2491,2272,2620
2025-10-25 17:39:28.349887,8.39954,2482,2272,2620
2025-10-25 17:39:28.445878,8.495531,2462,2272,2618
2025-10-25 17:39:28.541878,8.591531,2437,2273,2616
2025-10-25 17:39:28.637871,8.687524,2408,2277,2614
2025-10-25 17:39:28.733870,8.783523,2375,2281,2614
2025-10-25 17:39:28.829873,8.879526,2329,2281,2614
2025-10-25 17:39:28.925896,8.975549,2276,2282,2618
2025-10-25 17:39:29.021873,9.071526,2226,2282,2620
2025-10-25 17:39:29.117866,9.167519,2170,2282,2620
2025-10-25 17:39:29.213857,9.26351,2109,2282,2620
2025-10-25 17:39:29.309899,9.359552,2044,2282,2620
2025-10-25 17:39:29.405839,9.455492,1976,2282,2620
2025-10-25 17:39:29.501831,9.551484,1917,2282,2620
2025-10-25 17:39:29.597882,9.647535,1858,2281,2620
2025-10-25 17:39:29.693830,9.743483,1800,2281,2620
2025-10-25 17:39:29.789827,9.83948,1747,2281,2620
2025-10-25 17:39:29.885822,9.935475,1693,2281,2620
2025-10-25 17:39:29.981815,10.031468,1650,2280,2620
2025-10-25 17:39:30.077809,10.127462,1631,2278,2620
2025-10-25 17:39:30.173802,10.223455,1628,2276,2620
2025-10-25 17:39:30.269808,10.319461,1627,2275,2620
2025-10-25 17:39:30.365849,10.415502,1622,2275,2620
2025-10-25 17:39:30.477804,10.527457,1620,2274,2620
2025-10-25 17:39:30.589788,10.639441,1620,2274,2620
